htm,alg,notes
7,U2 B R2 B2 R2 U B',
7,U2 B R2 B2 R2 U' B',
7,U2 B R2 B2 R2 U2 B',
7,U2 B U R2 B2 R2 B',
7,U2 B U' R2 B2 R2 B',
7,U2 B U2 R2 B2 R2 B',
7,U2 B' D' R2 D U B,
7,U2 B' D' R2 D U' B,
7,U2 B' D' U R2 D B,
7,U2 B' D' U' R2 D B,
7,U2 B' R B' R B2 R2,
7,U2 B' R U B U R',
7,U2 B' R U' B U R',
7,U2 B' R U' B U' R',
7,U2 B' R U2 B U R',
7,U2 B' U R B U2 R',
7,U2 B' U R U B R',
7,U2 B' U' R B U' R',
7,U2 B' U' R U' B R',
7,U2 B' U' R U2 B R',
7,U2 B' U2 R B U' R',
7,U2 B' U2 R U' B R',
7,U2 B2 R U2 R' U2 B2,
7,U2 B2 U B D' R2 D,
7,U2 D B2 R B2 R' D',
7,U2 D B2 U B D' R2,
7,U2 D' R2 B' R2 B D,
7,U2 D2 L2 F L2 D2 B,
7,U2 R B' U B' R' B2,
7,U2 R B' U R' U B,
7,U2 R B' U R' U' B,
7,U2 R B' U R' U2 B,
7,U2 R B' U2 B' R' B2,
7,U2 R B' U2 R' U B,
7,U2 R B' U2 R' U' B,
7,U2 R B' U2 R' U2 B,
7,U2 R B2 R B R2 B,
7,U2 R D B' D' U R',
7,U2 R D2 F2 L F2 D2,
7,U2 R F2 D2 L D2 F2,
7,U2 R U' B' U' R' B,
7,U2 R U2 B' R' U B,
7,U2 R U2 B' R' U' B,
7,U2 R U2 B' R' U2 B,
7,U2 R' B' R U B R,
7,U2 R' B' R U' B R,
7,U2 R' B' R U2 B R,
7,U2 R' B' U R B R,
7,U2 R' B' U' R B R,
7,U2 R' B' U2 R B R,
7,U2 R' B' U2 R2 B R,
7,U2 R' U2 B2 R2 B2 R,
7,U2 R2 B' R U R B,
7,U2 R2 B' R U' R B,
7,U2 R2 B' R U2 R B,
7,U2 R2 B' R' B' R' B2,
7,U2 R2 B' R' U2 R' B,
7,U2 R2 B' U2 B U2 R2,
7,U2 R2 D B' U' B2 D',
6,B' F' U' B U' F,
6,B' F' U' F U B,
6,B' F' U' F U' B,
6,B' F' U' F U2 B,
6,B' F' U2 B U2 F,
6,B' F' U2 F U B,
6,B' F' U2 F U' B,
6,B' F' U2 F U2 B,
6,B' R U B' R' B2,
6,B' R U R' U B,
6,B' R U R' U' B,
6,B' R U R' U2 B,
6,B' U B R U' R',
6,B' U F' U B F,
6,B' U R U' R' B,
6,B' U' B F' U2 F,
6,B' U' B R U2 R',
6,B' U' F' U B F,
6,B' U2 F' U2 B F,
6,B' U2 R U2 R' B,
6,B' U2 R2 B' R2 B2,
6,B2 R B U2 R' B,
6,B2 R2 B R2 U B,
6,B2 R2 B R2 U' B,
6,B2 R2 B R2 U2 B,
6,D2 F R' F' R D2,
6,D2 R' F R F' D2,
6,F' L U F' L' F2,
6,F' L U L' U' F,
6,F' L U L' U2 F,
6,F' L U' F' L' F2,
6,F' L U' L' U' F,
6,F' L U2 L' U' F,
6,F' U B' U B F,
6,F' U B' U2 B F,
6,F' U L U' L' F,
6,F' U L2 F' L2 F2,
6,F' U' B' F U B,
6,F' U' B' F U' B,
6,F' U' B' F U2 B,
6,F' U' B' U2 B F,
6,F' U' F L U L',
6,F' U' F L U' L',
6,F' U' F L U2 L',
6,F' U2 B' U2 B F,
6,F' U2 L U L' F,
6,F' U2 L U' L' F,
6,F' U2 L U2 L' F,
